20170131 20:52:05.712 - [IMTP][CLEAR] OrderBookId: 1079, Side: B
20170131 20:52:05.712 - [IMTP][CLEAR] OrderBookId: 1079, Side: S
20170131 20:52:05.712 - [IMSS] Group: 259, OrderBookId: 2049
20170131 20:52:05.713 - [IMTP][CLEAR] OrderBookId: 2049, Side: B
20170131 20:52:05.713 - [IMTP][CLEAR] OrderBookId: 2049, Side: S
20170131 20:52:05.713 - [IMSS] Group: 259, OrderBookId: 2492
20170131 20:52:05.714 - [IMTP][CLEAR] OrderBookId: 2492, Side: B
20170131 20:52:05.714 - [IMTP][CLEAR] OrderBookId: 2492, Side: S
20170131 20:52:05.714 - [IMSS] Group: 259, OrderBookId: 1312
20170131 20:52:05.714 - [IMTP][CLEAR] OrderBookId: 1312, Side: B
20170131 20:52:05.714 - [IMTP][CLEAR] OrderBookId: 1312, Side: S
20170131 20:52:05.714 - [IMSS] Group: 259, OrderBookId: 1957
20170131 20:52:05.715 - [IMTP][CLEAR] OrderBookId: 1957, Side: B
20170131 20:52:05.715 - [IMTP][CLEAR] OrderBookId: 1957, Side: S
20170131 20:52:05.715 - [IMSS] Group: 259, OrderBookId: 1998
20170131 20:52:05.716 - [IMTP][CLEAR] OrderBookId: 1998, Side: B
20170131 20:52:05.716 - [IMTP][CLEAR] OrderBookId: 1998, Side: S
20170131 20:52:05.717 - [IMSS] Group: 259, OrderBookId: 1427
20170131 20:52:05.717 - [IMTP][CLEAR] OrderBookId: 1427, Side: B
20170131 20:52:05.717 - [IMTP][CLEAR] OrderBookId: 1427, Side: S
20170131 20:52:05.717 - [IMSS] Group: 259, OrderBookId: 1479
20170131 20:52:05.718 - [IMTP][CLEAR] OrderBookId: 1479, Side: B
20170131 20:52:05.718 - [IMTP][CLEAR] OrderBookId: 1479, Side: S
20170131 20:52:05.718 - [IMSS] Group: 259, OrderBookId: 3283
20170131 20:52:05.719 - [IMTP][CLEAR] OrderBookId: 3283, Side: B
20170131 20:52:05.719 - [IMTP][CLEAR] OrderBookId: 3283, Side: S
20170131 20:52:05.719 - [IMSS] Group: 259, OrderBookId: 1934
20170131 20:52:05.719 - [IMTP][CLEAR] OrderBookId: 1934, Side: B
20170131 20:52:05.719 - [IMTP][CLEAR] OrderBookId: 1934, Side: S
20170131 20:52:05.719 - [IMSS] Group: 259, OrderBookId: 2215
20170131 20:52:05.720 - [IMTP][CLEAR] OrderBookId: 2215, Side: B
20170131 20:52:05.720 - [IMTP][CLEAR] OrderBookId: 2215, Side: S
20170131 20:52:05.721 - [IMSS] Group: 259, OrderBookId: 2108
20170131 20:52:05.721 - [IMTP][CLEAR] OrderBookId: 2108, Side: B
20170131 20:52:05.721 - [IMTP][CLEAR] OrderBookId: 2108, Side: S
20170131 20:52:05.721 - [IMSS] Group: 259, OrderBookId: 1694
20170131 20:52:05.722 - [IMTP][CLEAR] OrderBookId: 1694, Side: B
20170131 20:52:05.722 - [IMTP][CLEAR] OrderBookId: 1694, Side: S
20170131 20:52:05.722 - [IMSS] Group: 259, OrderBookId: 2206
20170131 20:52:05.723 - [IMTP][CLEAR] OrderBookId: 2206, Side: B
20170131 20:52:05.723 - [IMTP][CLEAR] OrderBookId: 2206, Side: S
20170131 20:52:05.723 - [IMSS] Group: 259, OrderBookId: 1948
20170131 20:52:05.723 - [IMTP][CLEAR] OrderBookId: 1948, Side: B
20170131 20:52:05.723 - [IMTP][CLEAR] OrderBookId: 1948, Side: S
20170131 20:52:05.724 - [IMSS] Group: 259, OrderBookId: 2304
20170131 20:52:05.724 - [IMTP][CLEAR] OrderBookId: 2304, Side: B
20170131 20:52:05.724 - [IMTP][CLEAR] OrderBookId: 2304, Side: S
20170131 20:52:05.724 - [IMSS] Group: 259, OrderBookId: 2779
20170131 20:52:05.725 - [IMTP][CLEAR] OrderBookId: 2779, Side: B
20170131 20:52:05.725 - [IMTP][CLEAR] OrderBookId: 2779, Side: S
20170131 20:52:05.733 - [IMSS] Group: 259, OrderBookId: 2615
20170131 20:52:05.735 - [IMTP][CLEAR] OrderBookId: 2615, Side: B
20170131 20:52:05.735 - [IMTP][CLEAR] OrderBookId: 2615, Side: S
20170131 20:52:05.735 - [IMSS] Group: 259, OrderBookId: 9197
20170131 20:52:05.735 - [IMTP][CLEAR] OrderBookId: 9197, Side: B
20170131 20:52:05.736 - [IMTP][CLEAR] OrderBookId: 9197, Side: S
20170131 20:52:05.736 - [IMSS] Group: 259, OrderBookId: 2512
20170131 20:52:05.736 - [IMTP][CLEAR] OrderBookId: 2512, Side: B
20170131 20:52:05.736 - [IMTP][CLEAR] OrderBookId: 2512, Side: S
20170131 20:52:05.736 - [IMSS] Group: 259, OrderBookId: 15437
20170131 20:52:05.737 - [IMTP][CLEAR] OrderBookId: 15437, Side: B
20170131 20:52:05.737 - [IMTP][CLEAR] OrderBookId: 15437, Side: S
20170131 20:52:05.737 - [IMSS] Group: 259, OrderBookId: 1320
20170131 20:52:05.738 - [IMTP][CLEAR] OrderBookId: 1320, Side: B
20170131 20:52:05.738 - [IMTP][CLEAR] OrderBookId: 1320, Side: S
20170131 20:52:05.738 - [IMSS] Group: 259, OrderBookId: 2766
20170131 20:52:05.739 - [IMTP][CLEAR] OrderBookId: 2766, Side: B
20170131 20:52:05.739 - [IMTP][CLEAR] OrderBookId: 2766, Side: S
20170131 20:52:05.739 - [IMSS] Group: 259, OrderBookId: 2671
20170131 20:52:05.739 - [IMTP][CLEAR] OrderBookId: 2671, Side: B
20170131 20:52:05.739 - [IMTP][CLEAR] OrderBookId: 2671, Side: S
20170131 20:52:05.739 - [IMSS] Group: 259, OrderBookId: 2382
20170131 20:52:05.740 - [IMTP][CLEAR] OrderBookId: 2382, Side: B
20170131 20:52:05.740 - [IMTP][CLEAR] OrderBookId: 2382, Side: S
20170131 20:52:05.740 - [IMSS] Group: 259, OrderBookId: 1600
20170131 20:52:05.741 - [IMTP][CLEAR] OrderBookId: 1600, Side: B
20170131 20:52:05.741 - [IMTP][CLEAR] OrderBookId: 1600, Side: S
20170131 20:52:05.741 - [IMSS] Group: 259, OrderBookId: 1606
20170131 20:52:05.742 - [IMTP][CLEAR] OrderBookId: 1606, Side: B
20170131 20:52:05.742 - [IMTP][CLEAR] OrderBookId: 1606, Side: S
20170131 20:52:05.742 - [IMSS] Group: 259, OrderBookId: 2418
20170131 20:52:05.743 - [IMTP][CLEAR] OrderBookId: 2418, Side: B
20170131 20:52:05.743 - [IMTP][CLEAR] OrderBookId: 2418, Side: S
20170131 20:52:05.743 - [IMSS] Group: 259, OrderBookId: 2633
20170131 20:52:05.743 - [IMTP][CLEAR] OrderBookId: 2633, Side: B
20170131 20:52:05.743 - [IMTP][CLEAR] OrderBookId: 2633, Side: S
20170131 20:52:05.743 - [IMSS] Group: 259, OrderBookId: 1088
20170131 20:52:05.744 - [IMTP][CLEAR] OrderBookId: 1088, Side: B
20170131 20:52:05.744 - [IMTP][CLEAR] OrderBookId: 1088, Side: S
